,Unnamed: 0,id,object_name,chain,object_type,address,number,street,Url,Url_With_Coordinates
315,5712,23272,кафе «черный кот»,False,кафе,"город москва, нижний журавлев переулок, дом 3",20,нижний журавлев переулок,"https://www.google.com/maps/search/город москва, нижний журавлев переулок, дом 3",https://maps.google.com/maps/api/staticmap?center=55.78412%2C37.7061757&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=g5K-JbIcslJe79o95RCYc2CSzKQ
316,5716,144462,кафе при азс газпромнефть №134,False,буфет,"город москва, русаковская набережная, дом 7",18,русаковская набережная,"https://www.google.com/maps/search/город москва, русаковская набережная, дом 7",https://maps.google.com/maps/api/staticmap?center=55.7985864%2C37.6989575&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=L6BC7zqoJiRQvc-spQ1GgmKqvoY
317,5725,27523,ноу «мини-школа»,False,буфет,"город москва, кузьминская улица, дом 10, строение 2",50,кузьминская улица,"https://www.google.com/maps/search/город москва, кузьминская улица, дом 10, строение 2",https://maps.google.com/maps/api/staticmap?center=55.6934103%2C37.7861892&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Jm3IwHl0pwYZx9lUexFlTGbvymc
318,5731,28332,столовая при оао док-3,False,столовая,"город москва, 1-я карачаровская улица, дом 8, строение 1",31,1-я карачаровская улица,"https://www.google.com/maps/search/город москва, 1-я карачаровская улица, дом 8, строение 1",https://maps.google.com/maps/api/staticmap?center=55.735889%2C37.754017&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=y9kxWmORqoElHO8xMED7b0VOCxw
319,5734,29265,столовая гоу 1083,False,столовая,"город москва, хвалынский бульвар, дом 4, корпус 4",200,хвалынский бульвар,"https://www.google.com/maps/search/город москва, хвалынский бульвар, дом 4, корпус 4",https://maps.google.com/maps/api/staticmap?center=55.700339%2C37.849309&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=TL4vW-6u8nr-2p65HPk3f9WEwuc
320,5772,28344,пролетарец,False,столовая,"город москва, новоостаповская улица, дом 12, строение 2",48,новоостаповская улица,"https://www.google.com/maps/search/город москва, новоостаповская улица, дом 12, строение 2",https://maps.google.com/maps/api/staticmap?center=55.71825%2C37.671812&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=xqkrc0l7gBbfUWRIAgMHAWul4fw
321,5826,28490,столовая фгпу усст 2,False,столовая,"город москва, 2-й курьяновский проезд, дом 2",32,2-й курьяновский проезд,"https://www.google.com/maps/search/город москва, 2-й курьяновский проезд, дом 2",https://maps.google.com/maps/api/staticmap?center=55.651824%2C37.6997609&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=LgofDqdZB79g8pVzQesdE7MVtxA
322,5828,23421,харт-трейдинг лтд,False,буфет,"город москва, егорьевский проезд, дом 2, строение 5",30,егорьевский проезд,"https://www.google.com/maps/search/город москва, егорьевский проезд, дом 2, строение 5",https://maps.google.com/maps/api/staticmap?center=55.6728414%2C37.7327372&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=zkd-YAvwuBrRAGyyGLJr5CZBjAc
323,5842,28040,ниипм,False,столовая,"город москва, перовский проезд, дом 35, строение 8",140,перовский проезд,"https://www.google.com/maps/search/город москва, перовский проезд, дом 35, строение 8",https://maps.google.com/maps/api/staticmap?center=55.744407%2C37.710161&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=kck3joWbgF60HzuhW2bA_pLQ06o
324,5848,28077,столовая,False,столовая,"город москва, автомобильный проезд, дом 6, строение 2",48,автомобильный проезд,"https://www.google.com/maps/search/город москва, автомобильный проезд, дом 6, строение 2",https://maps.google.com/maps/api/staticmap?center=55.7304727%2C37.7005988&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=U7U7oBpPgdZEH8UukMvDeTcYq_I
325,5853,23460,кафе-бистро,False,кафе,"город москва, басовская улица, дом 16, строение 1",24,басовская улица,"https://www.google.com/maps/search/город москва, басовская улица, дом 16, строение 1",https://maps.google.com/maps/api/staticmap?center=55.7382786%2C37.7471952&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=QB8YF4gPgDd4sPHt5-kHO58PGLI
326,5857,28033,мниипа,False,столовая,"город москва, красноказарменный проезд, дом 14а, корпус 19",180,красноказарменный проезд,"https://www.google.com/maps/search/город москва, красноказарменный проезд, дом 14а, корпус 19",https://maps.google.com/maps/api/staticmap?center=55.753878%2C37.708005&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=pqlx-5_MefqI4Wu56mKwbZjoxpo
327,5901,29571,всеросийская государственная налоговая академия,False,столовая,"город москва, 4-й вешняковский проезд, дом 4, строение 1",80,4-й вешняковский проезд,"https://www.google.com/maps/search/город москва, 4-й вешняковский проезд, дом 4, строение 1",https://maps.google.com/maps/api/staticmap?center=55.718398%2C37.7962353&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=xugNOw_U_hVLzUpBuxPhE7Fj_Zs
328,5902,140772,зарайский дворик,False,кафе,"город москва, зарайская улица, дом 33, корпус 2",44,зарайская улица,"https://www.google.com/maps/search/город москва, зарайская улица, дом 33, корпус 2",https://maps.google.com/maps/api/staticmap?center=55.729814%2C37.770696&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=L5yTaY92qdgydi4mttSsT6XkKB0
329,5907,28049,бризоль-м,False,столовая,"город москва, 4-я кабельная улица, дом 2а, строение 1",180,4-я кабельная улица,"https://www.google.com/maps/search/город москва, 4-я кабельная улица, дом 2а, строение 1",https://maps.google.com/maps/api/staticmap?center=55.740571%2C37.717321&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=y5gIHnECFWGRPG09POEsHav5NuU
330,5908,28327,саят нова,False,ресторан,"город москва, улица капотня, дом 34",220,улица капотня,"https://www.google.com/maps/search/город москва, улица капотня, дом 34",https://maps.google.com/maps/api/staticmap?center=55.6402926%2C37.8145048&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=vkHXA9J3ENxco99YKG8RY0p6nv0
331,5910,28867,школа 775,False,буфет,"город москва, армавирская улица, дом 4",210,армавирская улица,"https://www.google.com/maps/search/город москва, армавирская улица, дом 4",https://maps.google.com/maps/api/staticmap?center=55.6754136%2C37.7533018&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=lQi-T-bbOI4ETr2IzL0NI0S0gvM
332,5935,26571,а ля фуршет,False,ресторан,"город москва, сормовский проезд, дом 11, строение 8",60,сормовский проезд,"https://www.google.com/maps/search/город москва, сормовский проезд, дом 11, строение 8",https://maps.google.com/maps/api/staticmap?center=55.7071381%2C37.8043412&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=9QUGswGhBzMBM7B0JYhaJ5BgVuY
333,5943,29281,гбоу «многофункциональный образовательный комплекс «кузьминки»,False,столовая,"город москва, есенинский бульвар, дом 14, корпус 2",130,есенинский бульвар,"https://www.google.com/maps/search/город москва, есенинский бульвар, дом 14, корпус 2",https://maps.google.com/maps/api/staticmap?center=55.699931%2C37.776014&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=wAu8DHVfy49ManF_n-Vu6gfVxOI
334,5952,23376,караван прожект,False,ресторан,"город москва, 2-й кабельный проезд, дом 1",91,2-й кабельный проезд,"https://www.google.com/maps/search/город москва, 2-й кабельный проезд, дом 1",https://maps.google.com/maps/api/staticmap?center=55.7479848%2C37.7162229&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=oUiycM6oihtq63R_0OjMCiYuPqk
335,5964,29301,школа 509,False,столовая,"город москва, 6-я кожуховская улица, дом 8",215,6-я кожуховская улица,"https://www.google.com/maps/search/город москва, 6-я кожуховская улица, дом 8",https://maps.google.com/maps/api/staticmap?center=55.7065035%2C37.6721694&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=ZVFEOGTHHWmE6uFdSGSWW3N-Ggg
336,5966,67817,кафе-бар «жулебино»,False,кафе,"город москва, тарханская улица, дом 2",50,тарханская улица,"https://www.google.com/maps/search/город москва, тарханская улица, дом 2",https://maps.google.com/maps/api/staticmap?center=55.6846474%2C37.8588058&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=g6e5hh48FJD42s9umcX6D0n6nbE
337,5989,29407,школа 469,False,столовая,"город москва, улица крутицкий вал, дом 5",240,улица крутицкий вал,"https://www.google.com/maps/search/город москва, улица крутицкий вал, дом 5",https://maps.google.com/maps/api/staticmap?center=55.729312%2C37.6661789&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=8jQvSFatHmNzeOSFJA-I5E3CAwU
338,6021,23969,артико,False,кафе,"город москва, 38-й километр московской кольцевой автодороги, владение 6а, строение 1",94,38-й километр московской кольцевой автодороги,"https://www.google.com/maps/search/город москва, 38-й километр московской кольцевой автодороги, владение 6а, строение 1",https://maps.google.com/maps/api/staticmap?center=55.59681%2C37.512332&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=vvoyPozxVm5Vh1TQc8Y3kwTeiF8
