,id,object_name,chain,object_type,address,number,street,Url
548,25720,кафе хинкальная,False,кафе,"город москва, ленинградский проспект, дом 33, корпус 3",28,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 33, корпус 3"
549,155931,al33 пиццерия бар ботега,False,кафе,"город москва, ленинградский проспект, дом 33, корпус 4",45,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 33, корпус 4"
550,140611,буфет-бар бутербург,False,буфет,"город москва, ленинградский проспект, дом 35",20,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 35"
551,21623,sea-тория,False,ресторан,"город москва, ленинградский проспект, дом 48",150,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 48"
552,71678,тратория italian «паста&пицца»,False,ресторан,"город москва, ленинградский проспект, дом 48",40,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 48"
553,26124,золотая бухара,False,ресторан,"город москва, ленинградский проспект, дом 48",150,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 48"
554,25606,кофе-бин,True,кафе,"город москва, ленинградский проспект, дом 56",41,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 56"
555,143379,crema espresso bar,False,кафе,"город москва, ленинградский проспект, дом 60, корпус 1",2,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 60, корпус 1"
556,125031,штолле,True,кафе,"город москва, ленинградский проспект, дом 62",37,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 62"
557,81474,кофе хаус,True,кафе,"город москва, ленинградский проспект, дом 62",48,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 62"
558,99299,французская выпечка,True,кафе,"город москва, ленинградский проспект, дом 62",26,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 62"
559,81473,черчилль паб,False,ресторан,"город москва, ленинградский проспект, дом 66",45,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 66"
560,143289,cure bar,False,бар,"город москва, ленинградский проспект, дом 66",70,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 66"
561,141395,французская выпечка,True,кафе,"город москва, ленинградский проспект, дом 74, корпус 1",4,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 74, корпус 1"
562,100556,кофе хаус,True,кафе,"город москва, ленинградский проспект, дом 74, корпус 1",98,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 74, корпус 1"
563,22693,шоколадница,True,кафе,"город москва, ленинградский проспект, дом 74, корпус 1",98,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 74, корпус 1"
564,149256,subway,True,ресторан,"город москва, ленинградский проспект, дом 74, корпус 6",15,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 74, корпус 6"
565,140186,вок стайл,False,ресторан,"город москва, ленинградский проспект, дом 77, корпус 2",80,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 77, корпус 2"
