,id,object_name,chain,object_type,address,number,street
12982,200506,вкус востока,False,кафе,"город москва, улица максимова, дом 18",40,улица максимова
12988,201607,легенда самарканда,False,кафе,"город москва, парусный проезд, дом 5, строение 1",48,парусный проезд
13012,199505,кофе и ко,False,ресторан,"город москва, мишина улица, дом 35",8,мишина улица
13037,193142,бургеры,False,кафе,"город москва, ижорский проезд, дом 17",16,ижорский проезд
13108,200373,кафе при азс нефтьмагистраль,False,кафе,"город москва, канатчиковский проезд, владение 5",6,канатчиковский проезд
13112,197252,кафе,False,кафе,"город москва, 1-й кожевнический переулок, дом 6, строение 1",85,1-й кожевнический переулок
13273,203786,столовая гбоу школа № 1387,False,столовая,"город москва, машкинское шоссе, дом 7",192,машкинское шоссе
13297,201340,амстердам чипс компани,False,кафе,"город москва, тестовская улица, дом 1",16,тестовская улица
13377,200852,чешская пивная пилзнер,True,ресторан,"город москва, малый путинковский переулок, дом 1/2, строение 1",80,малый путинковский переулок
13546,220355,пекарня папан,False,кафе,"город москва, 2-я квесисская улица, дом 23",20,2-я квесисская улица
13576,214899,чайхона vizir,False,кафе,"город москва, 2-я улица марьиной рощи, дом 22",45,2-я улица марьиной рощи
13594,207407,жингялов хац гирос бургер,False,кафе,"город москва, 2-й новоподмосковный переулок, дом 8",6,2-й новоподмосковный переулок
13618,209546,kaufman кафе,False,кафе,"город москва, посланников переулок, дом 9, строение 5",30,посланников переулок
13627,206740,кулинариум,False,кулинария,"город москва, рижский проезд, дом 7",0,рижский проезд
13664,223192,кафе «скалка»,False,кафе,"город москва, 2-я филевская улица, дом 13",18,2-я филевская улица
13747,213415,тандыр,False,кулинария,"город москва, улица льва яшина, дом 5, корпус 1",0,улица льва яшина
13775,149462,корнер,False,кафе,"город москва, композиторская улица, дом 17",25,композиторская улица
13847,215587,кафе «уют»,False,кафе,"город москва, 3-я северная линия, дом 3",40,3-я северная линия
13852,223395,кафе-пекарня арчибальд,False,кафе,"город москва, яхромская улица, дом 3",16,яхромская улица
13861,213352,lao lee,False,кафе,"город москва, миусская площадь, дом 9, строение 8",149,миусская площадь
13866,211492,наливки,False,кафе,"город москва, 1-й спасоналивковский переулок, дом 8, строение 2",14,1-й спасоналивковский переулок
13902,210161,cedro,False,ресторан,"город москва, 4-й вятский переулок, дом 10",60,4-й вятский переулок
13918,205867,крафт 1.8,False,кафе,"город москва, винницкая улица, дом 1",30,винницкая улица
13939,222361,шаурма,False,закусочная,"город москва, проезд якушкина, дом 7",0,проезд якушкина
13955,214778,кафе «багратион»,False,кафе,"город москва, сеченовский переулок, дом 7а",38,сеченовский переулок
14060,207516,кафе-пекарня,False,закусочная,"город москва, староникольская улица, дом 14а",10,староникольская улица
14114,213535,шаверма,False,фаст-фуд,"город москва, 1-й силикатный проезд, дом 13",0,1-й силикатный проезд
14227,208805,кафе,False,кафе,"город москва, 3-й угрешский проезд, дом 8, строение 2",15,3-й угрешский проезд
14440,211368,пацио пицца,False,кафе,"город москва, улица линии октябрьской железной дороги, дом 2, строение 2",20,улица линии октябрьской железной дороги
14462,216767,кафе,False,кафе,"город москва, 80-й километр московской кольцевой автодороги, дом 4, строение 1",20,80-й километр московской кольцевой автодороги
14704,214324,кадаши ( закрытый),False,ресторан,"город москва, 2-й кадашевский переулок, дом 16, строение 1",15,2-й кадашевский переулок
