,id,object_name,chain,object_type,address,number,street
5716,144462,кафе при азс газпромнефть №134,False,буфет,"город москва, русаковская набережная, дом 7",18,русаковская набережная
5725,27523,ноу «мини-школа»,False,буфет,"город москва, кузьминская улица, дом 10, строение 2",50,кузьминская улица
5731,28332,столовая при оао док-3,False,столовая,"город москва, 1-я карачаровская улица, дом 8, строение 1",31,1-я карачаровская улица
5734,29265,столовая гоу 1083,False,столовая,"город москва, хвалынский бульвар, дом 4, корпус 4",200,хвалынский бульвар
5772,28344,пролетарец,False,столовая,"город москва, новоостаповская улица, дом 12, строение 2",48,новоостаповская улица
5826,28490,столовая фгпу усст 2,False,столовая,"город москва, 2-й курьяновский проезд, дом 2",32,2-й курьяновский проезд
5828,23421,харт-трейдинг лтд,False,буфет,"город москва, егорьевский проезд, дом 2, строение 5",30,егорьевский проезд
5842,28040,ниипм,False,столовая,"город москва, перовский проезд, дом 35, строение 8",140,перовский проезд
5848,28077,столовая,False,столовая,"город москва, автомобильный проезд, дом 6, строение 2",48,автомобильный проезд
5853,23460,кафе-бистро,False,кафе,"город москва, басовская улица, дом 16, строение 1",24,басовская улица
5857,28033,мниипа,False,столовая,"город москва, красноказарменный проезд, дом 14а, корпус 19",180,красноказарменный проезд
5901,29571,всеросийская государственная налоговая академия,False,столовая,"город москва, 4-й вешняковский проезд, дом 4, строение 1",80,4-й вешняковский проезд
5902,140772,зарайский дворик,False,кафе,"город москва, зарайская улица, дом 33, корпус 2",44,зарайская улица
5907,28049,бризоль-м,False,столовая,"город москва, 4-я кабельная улица, дом 2а, строение 1",180,4-я кабельная улица
5908,28327,саят нова,False,ресторан,"город москва, улица капотня, дом 34",220,улица капотня
5910,28867,школа 775,False,буфет,"город москва, армавирская улица, дом 4",210,армавирская улица
5935,26571,а ля фуршет,False,ресторан,"город москва, сормовский проезд, дом 11, строение 8",60,сормовский проезд
5943,29281,гбоу «многофункциональный образовательный комплекс «кузьминки»,False,столовая,"город москва, есенинский бульвар, дом 14, корпус 2",130,есенинский бульвар
5952,23376,караван прожект,False,ресторан,"город москва, 2-й кабельный проезд, дом 1",91,2-й кабельный проезд
5964,29301,школа 509,False,столовая,"город москва, 6-я кожуховская улица, дом 8",215,6-я кожуховская улица
5966,67817,кафе-бар «жулебино»,False,кафе,"город москва, тарханская улица, дом 2",50,тарханская улица
5989,29407,школа 469,False,столовая,"город москва, улица крутицкий вал, дом 5",240,улица крутицкий вал
6021,23969,артико,False,кафе,"город москва, 38-й километр московской кольцевой автодороги, владение 6а, строение 1",94,38-й километр московской кольцевой автодороги
6030,29365,школа № 1279,False,столовая,"город москва, сивашская улица, дом 2, корпус 1",70,сивашская улица
6119,25516,ресторан «бони мария»,False,ресторан,"город москва, 42-й километр московской кольцевой автодороги, владение 4, строение 1",170,42-й километр московской кольцевой автодороги
6168,24627,кантина кафе офис клуб,False,кафе,"город москва, научный проезд, дом 19",200,научный проезд
6212,29088,школьно-базовая столовая,False,столовая,"город москва, 3-я железногорская улица, дом 11а",100,3-я железногорская улица
6239,98910,subway,True,фаст-фуд,"город москва, новобутовский проезд, владение 9, строение 1",12,новобутовский проезд
6240,29092,школьно-базовая столовая,False,столовая,"город москва, улица академика понтрягина, дом 17, корпус 1",110,улица академика понтрягина
6246,29100,школьно-базовая столовая,False,столовая,"город москва, улица брусилова, дом 29, корпус 1",260,улица брусилова
6276,23962,соль и мясо,False,кафе,"город москва, синельниковская улица, дом 47",50,синельниковская улица
6279,29382,ст.шк.20 «школьник-юз»,False,столовая,"город москва, улица академика арцимовича, дом 7",240,улица академика арцимовича
6290,28528,столовая при ну акушерства и гинекологии,False,столовая,"город москва, улица академика опарина, дом 4",80,улица академика опарина
6394,23420,столовая,False,столовая,"город москва, большая внуковская улица, дом 2а, строение 9",46,большая внуковская улица
6599,69531,ансар,False,кафе,"город москва, улица клочкова, дом 10",25,улица клочкова
6606,19912,сахара,False,кафе,"город москва, 56-й километр московской кольцевой автодороги, дом 10",1,56-й километр московской кольцевой автодороги
6736,23721,столовая гбпоу «мгтк имени л.а.филатова»,False,столовая,"город москва, волоцкой переулок, дом 15, корпус 2",250,волоцкой переулок
6750,23339,столовая гбоу сош № 1544,False,столовая,"город москва, пенягинская улица, дом 14",240,пенягинская улица
6779,27838,столовая при институте,False,столовая,"город москва, улица рогова, дом 5а",63,улица рогова
6783,143079,wild bean cafe,False,кафе,"город москва, 65-й километр московской кольцевой автодороги, владение 8",10,65-й километр московской кольцевой автодороги
6785,144799,кафе на азс,False,закусочная,"город москва, 67-й километр московской кольцевой автодороги, дом 7",2,67-й километр московской кольцевой автодороги
6786,22266,кафе,False,кафе,"город москва, улица саляма адиля, дом 9, корпус 3",15,улица саляма адиля
6788,28178,столовая,False,столовая,"город москва, улица шеногина, дом 2",60,улица шеногина
6792,23706,столовая гбоу школа № 1985,False,столовая,"город москва, ландышевая улица, дом 8",192,ландышевая улица
6794,23718,столовая гбоу сош № 1564,False,столовая,"город москва, улица рословка, дом 8",240,улица рословка
6829,144812,кафе на азс,False,закусочная,"город москва, улица зенитчиков, дом 7",2,улица зенитчиков
6865,76469,кафе «таба та»,False,кафе,"город москва, сосновая аллея, дом 1, строение 1",15,сосновая аллея
6870,22255,зодиак,True,бар,"город москва, неманский проезд, дом 1",48,неманский проезд
7010,82615,столовая школы № 1847,False,столовая,"город москва, малый коптевский проезд, дом 3",35,малый коптевский проезд
7011,28460,интерьер,False,столовая,"город москва, 1-й магистральный тупик, дом 10, корпус 1",80,1-й магистральный тупик
7048,21416,столовая школы №152,False,столовая,"город москва, 1-я аэропортовская улица, дом 1, строение 3",120,1-я аэропортовская улица
7074,25473,зао смк северная звезда,False,кафе,"город москва, песчаная улица, дом 2а, строение 4",36,песчаная улица
7097,157798,мастер гурмэ,False,кафе,"город москва, театральная аллея, дом 3, строение 1",70,театральная аллея
7126,146421,рамн,False,кафе,"город москва, балтийская улица, дом 10, корпус 2",26,балтийская улица
7182,58526,бригантина,False,кафе,"город москва, коптевский бульвар, дом 18а, строение 1",40,коптевский бульвар
7235,28493,ф-ка госзнак,False,столовая,"город москва, улица павла андреева, дом 27, строение 2",80,улица павла андреева
7271,28965,загорье шк. 902,False,столовая,"город москва, педагогическая улица, дом 3",240,педагогическая улица
7289,125092,столовая,False,столовая,"город москва, 2-й рощинский проезд, дом 8",8,2-й рощинский проезд
7324,145553,столовая,False,столовая,"город москва, городская улица, дом 8",80,городская улица
7354,28584,столовая «школа 982 кдп»,False,столовая,"город москва, улица кошкина, дом 13, корпус 2",300,улица кошкина
7379,21013,соц-психологическ. институт «коп зил»,False,буфет,"город москва, 4-й рощинский проезд, дом 11",16,4-й рощинский проезд
7437,74990,кафе «сахара»,False,кафе,"город москва, 26-й километр московской кольцевой автодороги, владение 6",50,26-й километр московской кольцевой автодороги
7743,29594,школа 567 кшп «загорье»,False,столовая,"город москва, черноморский бульвар, дом 8",240,черноморский бульвар
7746,127731,столовая,False,столовая,"город москва, 3-й павловский переулок, дом 2",100,3-й павловский переулок
7778,29834,пу 53,False,столовая,"город москва, улица лефортовский вал, дом 26",120,улица лефортовский вал
7782,23416,геронтологический центр переделкино,False,столовая,"город москва, 7-я улица лазенки, дом 12, строение 2",200,7-я улица лазенки
7783,23762,столовая,False,столовая,"город москва, интернациональная улица, дом 10",200,интернациональная улица
7784,23419,ксц «переделкино»,False,столовая,"город москва, 6-я улица лазенки, дом 2, строение 2",232,6-я улица лазенки
7794,20122,сабрина,False,кафе,"город москва, аэрофлотская улица, владение 2б",24,аэрофлотская улица
7834,24996,кафе-кальянная «мамуния»,False,кафе,"город москва, лыщиков переулок, дом 5, строение 1",55,лыщиков переулок
7869,25945,ноев ковчег,False,ресторан,"город москва, малый ивановский переулок, дом 4, строение 1",100,малый ивановский переулок
7872,158158,кафе гор,False,кафе,"город москва, сибирский проезд, дом 2, корпус 27, строение 1",40,сибирский проезд
7928,121039,пельменьи,False,кафе,"город москва, улица фадеева, дом 5, строение 1",30,улица фадеева
7935,29159,столовая шк 498,False,столовая,"город москва, 2-я дубровская улица, дом 3",80,2-я дубровская улица
7938,25019,клуб высоцкого,False,кафе,"нижний таганский тупик, дом 3, строение 1",94,нижний таганский тупик
7939,146400,шелби,False,кафе,"город москва, 1-й голутвинский переулок, дом 6",22,1-й голутвинский переулок
7943,22574,теремок,True,фаст-фуд,"город москва, гжельский переулок, дом 19, строение 2",39,гжельский переулок
7945,24969,секретное место,False,кафе,"город москва, калошин переулок, дом 4, строение 1",39,калошин переулок
7952,152169,гбоу многопрофильный лицей №1501,False,столовая,"город москва, тихвинский переулок, дом 3",140,тихвинский переулок
8016,26060,артс палас,False,ресторан,"город москва, успенский переулок, дом 3, строение 4",98,успенский переулок
8025,28195,бизнес центр таганский,False,кафе,"город москва, улица высоцкого, дом 4",80,улица высоцкого
8041,29140,школа №136,False,столовая,"город москва, переулок красина, дом 16, строение 10",120,переулок красина
